n  temps
3  0.000021
4  0.000023
5  0.000035
6  0.000049
7  0.000078
8  0.000143
9  0.000181
10  0.000207
11  0.000176
12  0.000254
13  0.000295
14  0.000442
15  0.000366
16  0.000399
17  0.000851
18  0.000396
19  0.000539
20  0.000855
21  0.000622
22  0.001094
23  0.001096
24  0.001218
25  0.000715
26  0.001939
27  0.001402
28  0.001327
29  0.001585
30  0.001277
31  0.001731
32  0.003024
33  0.002680
34  0.004738
35  0.001946
36  0.002404
37  0.003420
38  0.003824
39  0.003028
40  0.003668
41  0.002684
42  0.003891
43  0.003152
44  0.005506
45  0.003287
46  0.003552
47  0.003226
48  0.006664
49  0.005543
50  0.003756
51  0.005508
52  0.007569
53  0.008866
54  0.005701
55  0.007073
56  0.007140
57  0.006314
58  0.008449
59  0.011348
60  0.012995
61  0.014951
62  0.008448
63  0.009223
64  0.011738
65  0.013114
67  0.007432
68  0.017778
69  0.016694
70  0.011203
71  0.010871
72  0.009152
73  0.015168
74  0.012832
75  0.019303
76  0.018874
77  0.020423
78  0.015019
79  0.016361
80  0.028998
81  0.019515
82  0.020209
83  0.027228
84  0.019050
85  0.028594
86  0.018627
87  0.026505
88  0.034862
89  0.032801
90  0.031379
91  0.056893
92  0.019654
93  0.039890
94  0.031377
95  0.043262
96  0.032367
97  0.031339
99  0.024953
100  0.059392
101  0.024597
102  0.037205
